lemma_verb,frequence
τέμνω,2
κτερίζω,1
εἶπον,1
κάμνω,1
πέμπω,1
κοσμέω,1
ἔχω,12
ἐρύω,4
φοβέω,1
θείνω,4
ὀπυίω,1
δίδωμι,3
νοέω,8
βάλλω,7
ἀπαυράω,1
εἶδον,2
προσεῖπον,40
ἄνωγα,1
ἱκάνω,1
νεικέω,1
λαμβάνω,3
ἀνίημι,1
ἀνέχω,1
ποικίλλω,1
κατακτείνω,1
ἐξεναρίζω,1
πρόσφημι,93
ἀποφέρω,1
ἀφαιρέω,1
φράζω,3
ἀμείβω,36
ἐπέχω,1
ἐπιτέλλω,2
αἱρέω,9
ἐλεαίρω,1
ἱερεύω,2
οἰκτείρω,1
ἐμβάλλω,1
ὀτρύνω,4
ὀπάζω,1
ὑπερθρώσκω,1
ἄλαλκε,1
ἀνεγείρω,1
ἐποίχομαι,1
ξενίζω,1
ἐκφέρω,2
ὄρνυμι,1
φημί,1
κατέπεφνον,2
τεύχω,1
φιλέω,4
φέρω,2
μένω,1
ῥίπτω,1
προίημι,2
ἵστημι,2
ταρχύω,1
ὑποφέρω,1
ἐπιφλέγω,1
ἐγείρω,1
ποιέω,2
ἀναείρω,1
εἴδω,1
ἀποκτείνω,1
προσαυδάω,10
κτείνω,6
δαμάζω,2
ἐφέπω,2
προσφωνέω,5
τίκτω,7
ὑποδείδω,1
ἐνίπτω,2
τρέφω,2
ἄγω,4
κατέχω,1
μήδομαι,1
ἵημι,2
πόρω,6
βιάζω,1
τίθημι,4
λείπω,1
τρέπω,1
ἀλέομαι,1
ἐλεέω,5
λύω,1
ἀκούω,2
κιχάνω,2
