id,subj,obj,verb,ref,lemma_verb,synset
occ1,Ζεὺς,Τρῶάς,πέλασσε,13.1,πελάζω,
occ2,οἳ,Ὄλυμπον,ἔχουσι,13.68,ἔχω,
occ3,οἳ,τοιαῦτα,ἀγόρευον,13.81,ἀγορεύω,speak
occ4,οἵ,δάκρυα,λεῖβον,13.88,λείβω,
occ5,ὅ,ἔπεα,προσηύδα,13.94,προσαυδάω,speak
occ6,Τεῦκρος,ἄνδρα,κατέκτα,13.170,κατακτείνω,
occ7,ὃ,ὀμφαλὸν,οὖτα,13.192,οὐτάω,
occ8,Ἄρης,πόλεμον,μέτεισι,13.298,μέτειμι,
occ9,Μηριόνης,μῦθον,ἔειπε,13.306,εἶπον,speak
occ10,τὸ,γούνατ',ἔλυσεν,13.360,λύω,kill
occ11,ἡμεῖς,ταῦτά,τελέσαιμεν,13.377,τελέω,
occ12,ἥ,οὐρίαχον,πελέμιζεν,13.443,πελεμίζω,
occ13,ὅ,ἔπεα,προσηύδα,13.480,προσαυδάω,speak
occ14,ἥ,αὐχέν',ἱκάνει,13.547,ἱκάνω,
occ15,σκότος,ὄσσε,κάλυψε,13.575,καλύπτω,
occ16,ὃ,πῆχυν,ἄνελκε,13.583,ἀνέλκω,
occ17,τις,χρόα,ἐπαύρῃ,13.649,ἐπαυρέω,
occ18,οἵ,σάκος,ἐξεδέχοντο,13.710,ἐκδέχομαι,
occ19,κάματός,γούναθ',ἵκοιτο,13.711,ἱκνέομαι,
occ20,οἳ,ἀλλήλους,ἐνάριζον,14.24,ἐναρίζω,kill
occ21,οἳ,μάχην,ἔχουσι,14.57,ἔχω,
occ22,ἀϋτὴ,οὐρανὸν,ἵκει,14.60,ἵκω,
occ23,ὃς,μῆτιν,ἐνίσποι,14.107,ἐνέπω,speak
occ24,τις,ἕλκος,ἄρηται,14.130,αἴρω,
occ25,θεὸς,ἑ,σιφλώσειε,14.142,σιφλόω,
occ26,σὺ,ταῦτα,μενοινᾷς,14.264,μενοινάω,
occ27,ἔρως,φρένας,ἀμφεκάλυψεν,14.294,ἀμφικαλύπτω,
occ28,ἐγὼ,νέφος,ἀμφικαλύψω,14.343,ἀμφικαλύπτω,
occ29,ἐγὼ,κῶμ',ἐκάλυψα,14.359,καλύπτω,
occ30,βέλος,θυμὸν,ἐδάμνα,14.439,δαμνάω,
occ31,Αἴας,Ὕρτιον,οὖτα,14.511,οὐτάω,
occ32,Μηριόνης,Μόρυν,κατέκτα,14.514,κατακτείνω,
occ33,σκότος,ὄσσε,κάλυψε,14.519,καλύπτω,
occ34,ἄγγελος,αἴσιμα,εἰδῇ,15.207,οἶδα,
occ35,ἄχος,κραδίην,ἱκάνει,15.208,ἱκάνω,
occ36,Ἕκτωρ,πόδας,ἐνώμα,15.269,νωμάω,
occ37,ὃ,γούνατ',ἔλυσεν,15.291,ἐλύω,
occ38,Ἕκτωρ,Στιχίον,ἔπεφνε,15.329,θείνω,kill
occ39,Αἰνείας,Μέδοντα,ἐξενάριξεν,15.332,ἐξεναρίζω,kill
occ40,ἣ,κύματ',ὀφέλλει,15.383,ὀφέλλω,
occ41,στάθμη,δόρυ,ἐξιθύνει,15.410,ἐξιθύνω,
occ42,ὃ,τόξον,ἔθηκεν,15.478,τίθημι,
occ43,Πουλυδάμας,Ὦτον,ἐξενάριξε,15.518,ἐξεναρίζω,kill
occ44,ὃ,τεύχε',ἐσύλα,15.524,συλάω,
occ45,Ζεὺς,Τρῶας,ἔγειρεν,15.567,ἐγείρω,
occ46,ὃ,βέλος,ἧκεν,15.575,ἵημι,
occ47,σκότος,ὄσσε,κάλυψεν,15.578,καλύπτω,
occ48,ὅς,κῦδος,ἐγγυάλιξε,15.644,ἐγγυαλίζω,
occ49,φωνὴ,αἰθέρ',ἵκανεν,15.686,ἱκάνω,
occ50,ἣ,Πρωτεσίλαον,ἔνεικεν,15.705,φέρω,
occ51,Ζεὺς,ἦμαρ,ἔδωκε,15.719,δίδωμι,
occ52,ὅ,λοιγὸν,ἀμύναι,15.736,ἀμύνω,
occ53,ἄχος,κραδίην,ἱκάνει,16.52,ἱκάνω,
occ54,ἐγὼ,τέλος,θείω,16.83,τίθημι,
occ55,οἳ,τοιαῦτα,ἀγόρευον,16.101,ἀγορεύω,speak
occ56,ἐγὼ,λαὸν,ἀγείρω,16.129,ἀγείρω,
occ57,ἕταροι,μιν,ἀμφεφόβηθεν,16.290,ἀμφιφοβέομαι,
occ58,σκότος,ὄσσε,κάλυψεν,16.325,καλύπτω,
occ59,Ζεὺς,λαίλαπα,τείνῃ,16.365,τείνω,
occ60,σύ,ἕλκος,ἄκεσσαι,16.523,ἀκέομαι,
occ61,Αἰνείας,δόρυ,ἧκεν,16.608,ἵημι,
occ62,σὺ,ταῦτα,ἀγορεύεις,16.627,ἀγορεύω,speak
occ63,γλάγος,ἄγγεα,δεύει,16.643,δεύω,
occ64,οἳ,ἔντε',ἕλοντο,16.663,αἱρέω,kill
occ65,ὅς,θυμὸν,ἀνῆκεν,16.691,ἀνίημι,
occ66,θεοὶ,θάνατον,κάλεσσαν,16.693,καλέω,
occ67,χερμάδια,ἀσπίδας,ἐστυφέλιξαν,16.774,στυφελίζω,
occ68,Ἠέλιος,οὐρανὸν,ἀμφιβεβήκει,16.777,ἀμφιβαίνω,
occ69,ὃ,τὸν,ἐνόησεν,16.789,νοέω,
occ70,ὃς,ἡλικίην,ἐκέκαστο,16.808,καίνυμαι,
occ71,Ἕκτωρ,θυμὸν,ἀπηύρα,16.828,ἀπαυράω,
occ72,οἵ,με,δάμασσαν,16.845,δαμάζω,kill
occ73,σὺ,με,ἐξεναρίζεις,16.850,ἐξεναρίζω,kill
occ74,Μενέλαος,τεύχε',ἐσύλα,17.60,συλάω,
occ75,ὅσσοι,Λυκίην,ναιετάουσι,17.172,ναιετάω,
occ76,ἐγὼν,ἔντεα,δύω,17.186,δύω,
occ77,ὃ,τεύχεα,δῦνε,17.194,δύω,
occ78,σὺ,τεύχεα,δύνεις,17.202,δύω,
occ79,ὅ,ἔπεα,προσηύδα,17.219,προσαυδάω,speak
occ80,νέφος,πάντα,καλύπτει,17.243,καλύπτω,
occ81,τίς,οὐνόματ',εἴποι,17.260,εἶπον,speak
occ82,τοὶ,ἄλγε',ἔπασχον,17.375,πάσχω,
occ83,Ζεὺς,κῦδος,ὀπάζει,17.566,ὀπάζω,
occ84,τίς,σ',ταρβήσειεν,17.586,ταρβέω,
occ85,Ζεὺς,πάντ',ἰθύνει,17.632,ἰθύνω,
occ86,ὅ,Θρασυμήδεα,ἀνῆκεν,17.705,ἀνίημι,
occ87,οἳ,νεκρὸν,ἀγκάζοντο,17.722,ἀγκάζομαι,
occ88,θεαὶ,μιν,ἀμφαγέροντο,18.37,ἀμφαγείρομαι,
occ89,οἳ,ἀλλήλους,ὀλέκουσιν,18.172,ὀλέκω,
occ90,σέβας,σε,ἱκέσθω,18.178,ἱκνέομαι,
occ91,σέβας,θυμὸν,ἱκέσθω,18.178,ἱκνέομαι,
occ92,τίς,σε,ἧκε,18.182,ἵημι,
occ93,οἳ,Ὄλυμπον,ἀμφινέμονται,18.186,ἀμφινέμομαι,
occ94,καπνὸς,αἰθέρ',ἵκηται,18.207,ἱκνέομαι,
occ95,σέλας,αἰθέρ',ἵκανε,18.214,ἱκάνω,
occ96,σὺ,ταῦτ',ἀγορεύεις,18.285,ἀγορεύω,speak
occ97,Ζεὺς,νοήματα,τελευτᾷ,18.328,τελευτάω,
occ98,οἳ,τοιαῦτα,ἀγόρευον,18.368,ἀγορεύω,speak
occ99,αἵ,μ',ἐσάωσαν,18.405,σώζω,
occ100,Ζεὺς,ἄλγε',ἔδωκεν,18.431,δίδωμι,
occ101,ὃ,Πάτροκλον,ἕσσε,18.451,ἕννυμι,
occ102,ὃ,τεύχεα,ἕσσε,18.451,ἕννυμι,
occ103,ὃς,δίκην,εἴποι,18.508,εἶπον,speak
occ104,κήρυκες,δαῖτα,πένοντο,18.558,πένομαι,
occ105,ἣ,ἄλγε',ἔθηκε,1.2,τίθημι,
occ106,ὃς,Χρύσην,ἀμφιβέβηκας,1.37,ἀμφιβαίνω,
occ107,ὅ,λοιγὸν,ἀπώσει,1.97,ἀπωθέω,
occ108,ἑκηβόλος,ἄλγεα,τεύχει,1.110,τεύχω,
occ109,θεός,τό,ἔδωκεν,1.178,δίδωμι,
occ110,ὃ,Ἀτρεΐδην,ἐναρίζοι,1.191,ἐναρίζω,kill
occ111,ἣ,Οὔλυμπον,βεβήκει,1.221,βαίνω,
occ112,σὺ,θυμὸν,ἀμύξεις,1.243,ἀμύσσω,
occ113,πένθος,γαῖαν,ἱκάνει,1.254,ἱκάνω,
occ114,Ζεὺς,κῦδος,ἔδωκεν,1.279,δίδωμι,
occ115,Ἀτρεΐδης,νῆα,προέρυσσεν,1.308,προερύω,
occ116,Ἀτρεΐδης,ἅλα,προέρυσσεν,1.308,προερύω,
occ117,ὅ,Ταλθύβιόν,προσέειπε,1.320,προσεῖπον,speak
occ118,ὃς,κήδε',ἐφῆκεν,1.445,ἐφίημι,
occ119,ὃς,Χρύσην,ἀμφιβέβηκας,1.451,ἀμφιβαίνω,
occ120,οἳ,θεὸν,ἱλάσκοντο,1.472,ἱλάσκομαι,
occ121,τις,ὄνειρον,ἔνισπε,2.80,ἐνέπω,speak
occ122,ὅ,ἔπε',μετηύδα,2.109,μεταυδάω,speak
occ123,ἀϋτὴ,οὐρανὸν,ἷκεν,2.153,ἱκνέομαι,
occ124,Ἥρη,μῦθον,ἔειπεν,2.156,εἶπον,speak
occ125,ἄχος,κραδίην,ἵκανεν,2.171,ἱκάνω,
occ126,ὃς,ἔπεα,ᾔδη,2.213,οἶδα,
occ127,ἐγώ,εἵματα,δύσω,2.261,δύω,
occ128,τά,αἰδῶ,ἀμφικαλύπτει,2.262,ἀμφικαλύπτω,
occ129,Ὀδυσσεὺς,ἐσθλὰ,ἔοργε,2.272,ἔρδω,
occ130,Ζεὺς,ἄλγε',ἔδωκεν,2.375,δίδωμι,
occ131,ὅς,με,βάλλει,2.376,βάλλω,kill
occ132,αἴγλη,οὐρανὸν,ἷκε,2.458,ἵκω,
occ133,γλάγος,ἄγγεα,δεύει,2.471,δεύω,
occ134,οἳ,Γλισᾶντ',ἐνέμοντο,2.504,νέμω,
occ135,οἵ,Ἀνεμώρειαν,ἀμφενέμοντο,2.521,ἀμφινέμομαι,
occ136,οἳ,Στύρα,ναιετάασκον,2.539,ναιετάω,
occ137,οἳ,Βουπράσιόν,ἔναιον,2.615,ναίω,
occ138,οἳ,Σάμον,ἀμφενέμοντο,2.634,ἀμφινέμομαι,
occ139,οἳ,Κρήτην,ἀμφενέμοντο,2.649,ἀμφινέμομαι,
occ140,ὅσσοι,Ἄργος,ἔναιον,2.681,ναίω,
occ141,οἵ,Τρηχῖνα,νέμοντο,2.682,νέμω,
occ142,οἳ,Μηθώνην,ἐνέμοντο,2.716,νέμω,
occ143,οἳ,οἰκί',ἔθεντο,2.750,τίθημι,
occ144,οἵ,ἔργα,νέμοντο,2.751,νέμω,
occ145,Ἕκτωρ,ἔπος,ἠγνοίησεν,2.807,ἀγνοέω,
occ146,ἄνδρες,Βατίειαν,κικλήσκουσιν,2.813,κικλήσκω,
occ147,οἳ,Περκώτην,ἀμφενέμοντο,2.835,ἀμφινέμομαι,
occ148,οἳ,Λάρισαν,ναιετάασκον,2.841,ναιετάω,
occ149,ταί,ἔριδα,προφέρονται,3.7,προφέρω,
occ150,οἳ,φιλότητα,τάμωμεν,3.94,τέμνω,
occ151,τις,ὅρκια,δηλήσηται,3.107,δηλέομαι,
occ152,Ἕκτωρ,κήρυκας,ἔπεμπε,3.116,πέμπω,
occ153,ἣ,ἱστὸν,ὕφαινε,3.125,ὑφαίνω,
