id,obj,verb,atr,subj,ref,synset
occ1,τὸν,προσέφη,Τελαμώνιος,Αἴας,13.76,speak
occ2,τὸν,προσέφη,κρείων,ἐνοσίχθων,13.215,speak
occ3,τὸ,ἔρυσεν,μεγάθυμος,Ἀγήνωρ,13.598,
occ4,τὸν,προσέφη,κρείων,Ἀγαμέμνων,14.41,speak
occ5,τὸν,ἠμείβετ',Γερήνιος,Νέστωρ,14.52,reply
occ6,τὸν,προσέειπεν,ἄναξ,Ἀγαμέμνων,14.64,speak
occ7,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,14.82,speak
occ8,τὸν,ἠμείβετ',ἄναξ,Ἀγαμέμνων,14.103,reply
occ9,ἀλαοσκοπιὴν,εἶχε,κλυτὸς,ἐννοσίγαιος,14.135,
occ10,τὴν,ἠμείβετ',Διὸς,θυγάτηρ,14.193,reply
occ11,τὴν,προσηύδα,πότνια,Ἥρη,14.197,speak
occ12,τὴν,προσέειπε,φιλομειδὴς,Ἀφροδίτη,14.211,speak
occ13,τὴν,προσεφώνεε,νήδυμος,Ὕπνος,14.242,speak
occ14,τὸν,προσέειπε,βοῶπις,Ἥρη,14.263,speak
occ15,τὸν,προσηύδα,πότνια,Ἥρη,14.300,speak
occ16,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,14.312,speak
occ17,τὸν,προσηύδα,πότνια,Ἥρη,14.329,speak
occ18,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,14.341,speak
occ19,Τρῶας,ἐκόσμει,φαίδιμος,Ἕκτωρ,14.388,
occ20,Ἕκτορα,ὀτρύνῃσι,Φοῖβος,Ἀπόλλων,15.59,
occ21,τὸν,κτενεῖ,φαίδιμος,Ἕκτωρ,15.65,kill
occ22,σ',ἐφόβησε,Κρόνου,πάϊς,15.91,
occ23,τὴν,ἠμείβετ',θεὰ,Ἥρη,15.92,reply
occ24,ἅ,φησι,θεὰ,Ἥρη,15.130,speak
occ25,τὴν,προσέφη,κλυτὸς,ἐννοσίγαιος,15.184,speak
occ26,τὸν,ἠμείβετ',ποδήνεμος,Ἶρις,15.200,reply
occ27,Ἀπόλλωνα,προσέφη,νεφεληγερέτα,Ζεύς,15.220,speak
occ28,μιν,ἔγειρε,Διὸς,νόος,15.242,
occ29,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,15.246,speak
occ30,τὸν,προσέειπεν,ἄναξ,Ἀπόλλων,15.253,speak
occ31,αἰγίδα,ἔχ',Φοῖβος,Ἀπόλλων,15.318,
occ32,Κλονίον,ἕλε,δῖος,Ἀγήνωρ,15.340,kill
occ33,ὅ,πόρε,Φοῖβος,Ἀπόλλων,15.441,
occ34,τὸν,ἠμείβετ',μέγας,Αἴας,15.471,reply
occ35,νῆας,ἕλῃ,κορυθαίολος,Ἕκτωρ,15.504,kill
occ36,Ἀργείους,ὄτρυνε,μέγας,Αἴας,15.560,
occ37,Ἀντίλοχον,ὄτρυνε,ἀγαθὸς,Μενέλαος,15.568,
occ38,τὸ,μένε,μητίετα,Ζεὺς,15.599,
occ39,τινά,ἐπέφραδε,πότνια,μήτηρ,16.37,
occ40,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,16.48,speak
occ41,τί,ἐπέφραδε,πότνια,μήτηρ,16.51,
occ42,τούς,φιλεῖ,ἑκάεργος,Ἀπόλλων,16.94,
occ43,τοὺς,ἔτεκε,Ἅρπυια,Ποδάργη,16.150,
occ44,ὃν,τέκε,Πηλῆος,θυγάτηρ,16.175,
occ45,τὸν,ἔτικτε,καλὴ,Πολυμήλη,16.180,
occ46,τάφρον,ὑπέρθορον,ὠκέες,ἵπποι,16.380,
occ47,τὸν,ἔκφερον,ὠκέες,ἵπποι,16.383,
occ48,τοὺς,ἐλέησε,Κρόνου,πάϊς,16.431,
occ49,τὸν,ἠμείβετ',βοῶπις,Ἥρη,16.439,reply
occ50,τὸν,δάμασ',χάλκεος,Ἄρης,16.543,kill
